Anno;Cod_Azienda;Specie_Vegetale;PLT;PLV;PRA;PTA;Provincia;Regione;SAU;Biologica;SAU_Irrigata;KW_Macchine;avg_year;min_avg_year;max_avg_year;min_min_year;min_max_year;max_min_year;max_max_year;tot_prec_year;Tipo_Certificazione;max_irrigate;Produzione;Sum_Spesa_Distribuita;CAPITALE_FISSO;CAPITALE_CIRCOLANTE;PATRIMONIO_NETTO;CAPITALE_NETTO_TOTALE;LIQUIDITA_IMMEDIATE;UTILE_PERDITA_ESERCIZIO;Sum_Quantit�_azoto;Sum_Quantit�_fosforo;Sum_Quantit�_potassio;Sum_Valore_del_distribuito;lavoro_dipendente_ore_uomo;lavoro_dipendente_ore_macchina;lavoro_dipendente_ul;lavoro_famigliare_ore_uomo;lavoro_famigliare_ore_macchina
2019;2412008002898000001;Melo;74400;74400;0;0;Trento;Trentino;7,34;N;4,84;117;10,4124155;6,701489891;14,02228253;-8,646122197;21,91097487;-0,025065353;31,6827568;1680,100617;;1;3100;4771;254463;201119;451774;935541;121331;34692;708;708;1062;4060;700;0;0,39;2640;0
2019;2412008002916000001;Melo;17791;17791;0;0;Trento;Trentino;6,74;N;5,88;505;9,757305062;5,648220952;13,64872529;-12,6216623;21,51883152;-1,838045485;31,59002653;1564,550796;Denominazioni di Origine Protetta (DOP);1;889,56;1092;226780;867802;1045937;1348299;767870;97136;6,2;2,07;8,26;301;650;0;0,37;3117;0
2019;2412008002928000001;Melo;117908;117908;0;0;Trento;Trentino;6,64;N;6,64;223;7,360831883;2,754181224;11,52356481;-18,54242709;18,82727746;-5,176725549;30,25639973;1614,151125;Denominazioni di Origine Protetta (DOP);1;3368,8;22836;338965;308402;612892;1267480;159696;134503;372,81;306,61;357,09;9659;1915;0;1,07;2124;0
2019;2412008002930000001;Melo;83600;83600;0;0;Trento;Trentino;4,1;N;3,6;156;6,94976139;2,399165128;11,03598665;-19,40983947;18,92844979;-6,314838331;29,44689527;1801,579318;Denominazioni di Origine Protetta (DOP);1;2200;6383;547991;190310;725613;903874;92355;54699;637,5;637,5;637,5;4650;1190;0;0,66;900;0
2019;2412008003018000001;Melo;161530;161530;0;0;Trento;Trentino;7,69;N;6,91;163;4,78402561;0,0437114;8,96497422;-23,09669196;16,75516434;-8,887665578;27,42108262;1892,622413;;1;3230,6;12938;572771;315589;869814;1578414;154059;102482;1086,82;543,41;1319,71;4503;5096;0;2,83;1600;0
2019;2412008003023000001;Melo;91170;91170;0;0;Trento;Trentino;6,53;N;4,93;104;8,971701009;4,767974412;12,89398368;-14,53952637;20,90706563;-3,049955113;30,77947725;1639,047656;;1;3101,01;10864;14975;106317;114060;710555;106317;38095;1082,48;541,24;1314,44;4562;3389;0;1,88;2150;0
2019;2412008003144000001;Melo;13489;13489;0;0;Trento;Trentino;3,79;N;3,6;134;10,15439577;6,30013515;13,87697313;-10,23686093;21,82949493;-0,669235091;31,69240147;1612,940541;Denominazioni di Origine Protetta (DOP);1;415,12;3331;140989;404097;544393;558638;382699;2555;337,22;159,87;294,84;1298;0;0;0;2782;0
2019;2412008003147000001;Melo;113585;113585;0;0;Trento;Trentino;6,15;N;5,73;203;7,725387499;3,304146052;11,74038879;-17,72575891;19,80511632;-5,250551055;29,82078599;1776,715143;Denominazioni di Origine Protetta (DOP);1;3245,28;6013;733075;302251;736943;1316335;167579;105361;222,19;139,85;399,7;2435;813;0;0,45;2400;0
2019;2412008003149000001;Melo;74883;74883;0;0;Trento;Trentino;8,89;S;8,36;169;8,984224297;4,782685435;12,90547203;-14,50034762;20,9161096;-3,025456056;30,79169678;1637,805691;;1;2674,4;6228;2502853;281303;2775347;3472696;168270;677;104,61;34,87;139,48;1464;865;0;0,49;3300;0
2019;2412008003151000001;Melo;0;0;0;0;Trento;Trentino;1,32;N;0,92;60;9,787154981;5,652443869;13,70119948;-12,67029948;21,51118118;-1,865670479;31,6690405;1534,808895;;0;0;;230527;44347;273934;410107;30270;7893;;;;;0;0;0;919;0
